WBGeneID,Public_name
WBGene00003010,lin-24
WBGene00003038,lin-56
WBGene00003053,lmp-1
WBGene00003055,lon-1
WBGene00003056,lon-2
WBGene00003059,lpd-2
WBGene00003064,lpd-8
WBGene00003076,lsm-1
WBGene00003078,lsm-4
WBGene00003079,lsm-5
WBGene00003081,lsm-7
WBGene00003090,lys-1
WBGene00003091,lys-2
WBGene00003093,lys-4
WBGene00003094,lys-5
WBGene00003095,lys-6
WBGene00003096,lys-7
WBGene00003097,lys-8
WBGene00003134,mat-3
WBGene00003148,mbf-1
WBGene00003214,mel-32
WBGene00003225,mev-1
WBGene00003234,mif-1
WBGene00003235,mif-2
WBGene00003236,mif-3
WBGene00003402,mpk-2
WBGene00003409,mrp-3
WBGene00003410,mrp-4
WBGene00003415,mars-1
WBGene00003472,mtk-1
WBGene00003473,mtl-1
WBGene00003474,mtl-2
WBGene00003480,klf-3
WBGene00003509,mxl-1
WBGene00003511,mxl-3
WBGene00003526,nas-7
WBGene00003564,ncs-2
WBGene00003571,ncx-6
WBGene00003572,ncx-7
WBGene00003577,ndg-4
WBGene00003580,ndx-3
WBGene00003594,nft-1
WBGene00003596,ngp-1
WBGene00003601,nhr-2
WBGene00003607,nhr-8
WBGene00003615,nhr-16
WBGene00003619,nhr-20
WBGene00003625,nhr-31
WBGene00003635,nhr-45
WBGene00003643,nhr-53
WBGene00003647,nhr-57
WBGene00003651,nhr-61
WBGene00003653,nhr-63
WBGene00003654,nhr-64
WBGene00003658,nhr-68
WBGene00003659,nhr-69
WBGene00003669,nhr-79
WBGene00003670,nhr-80
WBGene00003679,nhr-89
WBGene00003682,nhr-92
WBGene00003686,nhr-96
WBGene00003689,nhr-99
WBGene00003690,nhr-100
WBGene00003692,nhr-102
WBGene00003696,nhr-106
WBGene00003698,nhr-108
WBGene00003699,nhr-109
WBGene00003700,nhr-110
WBGene00003707,nhr-117
WBGene00003710,nhr-120
WBGene00003711,nhr-121
WBGene00003720,nhr-130
WBGene00003721,nhr-131
WBGene00003723,nhr-133
WBGene00003727,nhr-137
WBGene00003730,nhx-2
WBGene00003741,nlp-3
WBGene00003759,nlp-21
WBGene00003762,nlp-24
WBGene00003764,nlp-26
WBGene00003765,nlp-27
WBGene00003766,nlp-28
WBGene00003767,nlp-29
WBGene00003768,nlp-30
WBGene00003769,nlp-31
WBGene00003771,nlp-33
WBGene00003773,nlt-1
WBGene00003786,npa-1
WBGene00003813,nrf-6
WBGene00003815,nars-1
WBGene00003821,nst-1
WBGene00003828,nuc-1
WBGene00003829,nud-1
WBGene00003844,odc-1
WBGene00003845,odd-1
WBGene00003846,odd-2
WBGene00003849,odr-2
WBGene00003861,oig-3
WBGene00003877,pept-1
WBGene00003904,pabp-2
WBGene00003916,par-1
WBGene00003920,par-5
WBGene00003923,pas-2
WBGene00003926,pas-5
WBGene00003927,pas-6
WBGene00003931,pat-4
WBGene00003941,pbo-1
WBGene00003943,pbo-4
WBGene00003949,pbs-3
WBGene00003952,pbs-6
WBGene00003953,pbs-7
WBGene00003956,pcp-1
WBGene00003958,pcp-3
WBGene00003967,pdr-1
WBGene00003976,pes-1
WBGene00003978,pes-4
WBGene00003982,pes-9
WBGene00003986,mct-4
WBGene00003989,pfn-1
WBGene00003990,pfn-2
WBGene00003995,pgp-1
WBGene00003996,pgp-2
WBGene00004010,pha-1
WBGene00004013,pha-4
WBGene00004020,pho-1
WBGene00004023,pho-4
WBGene00004024,php-3
WBGene00004030,pin-2
WBGene00004033,pkc-2
WBGene00004037,plc-2
WBGene00004058,pmp-1
WBGene00004059,pmp-2
WBGene00004061,pmp-4
WBGene00004062,pmp-5
WBGene00004078,pos-1
WBGene00004083,pph-1
WBGene00004091,pps-1
WBGene00004092,ppt-1
WBGene00004096,pqm-1
WBGene00004120,pqn-32
WBGene00004138,pqn-53
WBGene00004169,pqn-89
WBGene00004178,prg-1
WBGene00004180,pri-1
WBGene00004184,T19D2.2
WBGene00004190,pars-2
WBGene00004191,prx-1
WBGene00004192,prx-2
WBGene00004193,prx-3
WBGene00004194,prx-5
WBGene00004195,prx-6
WBGene00004196,prx-11
WBGene00004197,prx-12
WBGene00004198,prx-13
WBGene00004199,prx-14
WBGene00004201,prx-19
WBGene00004204,swsn-4
WBGene00004228,ptr-14
WBGene00004238,ptr-24
WBGene00004258,pyc-1
WBGene00004259,pyr-1
WBGene00004266,rab-1
WBGene00004267,rab-3
WBGene00004271,rab-7
WBGene00004272,rab-8
WBGene00004275,rab-11.2
WBGene00004286,rab-39
WBGene00004305,ran-4
WBGene00004309,rap-3
WBGene00004310,ras-1
WBGene00004318,rbg-2
WBGene00004320,rbx-1
WBGene00004321,rcan-1
WBGene00004326,rde-4
WBGene00004339,rfc-3
WBGene00004341,rfl-1
WBGene00004385,rnp-2
WBGene00004397,rol-6
WBGene00004420,rpl-9
WBGene00004423,rpl-11.2
WBGene00004425,rpl-13
WBGene00004426,rpl-14
WBGene00004431,rpl-19
WBGene00004432,rpl-20
WBGene00004433,rpl-21
WBGene00004434,rpl-22
WBGene00004436,rpl-24.1
WBGene00004437,rpl-24.2
WBGene00004438,rpl-25.1
WBGene00004439,rpl-25.2
WBGene00004442,rpl-28
WBGene00004443,rpl-29
WBGene00004445,rpl-31
WBGene00004447,rpl-33
WBGene00004449,rpl-35
WBGene00004450,rpl-36
WBGene00004451,rpl-37
WBGene00004452,rpl-38
WBGene00004454,rpl-36.A
WBGene00004456,rpl-43
WBGene00004460,rpn-3
WBGene00004464,rpn-8
WBGene00004468,rpn-12
WBGene00004470,rps-1
WBGene00004472,rps-3
WBGene00004474,rps-5
WBGene00004478,rps-9
WBGene00004481,rps-12
WBGene00004483,rps-14
WBGene00004485,rps-16
WBGene00004486,rps-17
WBGene00004487,rps-18
WBGene00004490,rps-21
WBGene00004492,rps-23
WBGene00004494,rps-25
WBGene00004495,rps-26
WBGene00004496,rps-27
WBGene00004498,rps-29
WBGene00004499,rps-30
WBGene00004504,rpt-4
WBGene00004510,rrf-3
WBGene00004681,rsd-2
WBGene00004702,rsp-5
WBGene00004704,rsp-7
WBGene00004768,sel-11
WBGene00004788,sft-4
WBGene00004789,sgk-1
WBGene00004798,sip-1
WBGene00004801,sir-2.2
WBGene00004807,skr-1
