WBGeneID,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00016174,Indirect,SET6,Increasing,NA
WBGene00016175,Indirect,SET6,Not_Bound,NA
WBGene00016178,Indirect,SET2,Not_Bound,NA
WBGene00016179,Indirect,SET1,Not_Bound,NA
WBGene00016180,Indirect,SET1,Not_Bound,NA
WBGene00016187,Indirect,SET2,Increasing,NA
WBGene00016190,Indirect,SET2,Larval,NA
WBGene00016191,Direct,SET4,Larval,ClassB
WBGene00016191,Direct,SET4,Increasing,ClassB
WBGene00016193,Indirect,SET6,Not_Changing,NA
WBGene00016204,Indirect,SET6,Larval,NA
WBGene00016204,Indirect,SET6,Larval,NA
WBGene00016207,Indirect,SET2,Not_Bound,NA
WBGene00016210,Indirect,SET1,Not_Bound,NA
WBGene00016217,Direct,SET6,Larval,ClassA
WBGene00016217,Direct,SET6,L3_High,ClassA
WBGene00016218,Direct,SET2,Larval,ClassC
WBGene00016219,Direct,SET3,Increasing,ClassC
WBGene00016219,Direct,SET3,Increasing,ClassC
WBGene00016219,Direct,SET3,Larval,ClassC
WBGene00016220,Indirect,SET2,Not_Bound,NA
WBGene00016236,Indirect,SET2,Not_Bound,NA
WBGene00016262,Indirect,SET1,Not_Bound,NA
WBGene00016263,Indirect,SET2,Not_Bound,NA
WBGene00016274,Direct,SET2,Larval,ClassD
WBGene00016274,Direct,SET2,Larval,ClassD
WBGene00016274,Direct,SET2,Larval,ClassD
WBGene00016274,Direct,SET2,Larval,ClassD
WBGene00016274,Direct,SET2,Increasing,ClassD
WBGene00016277,Indirect,SET2,Not_Bound,NA
WBGene00016291,Indirect,SET2,Not_Bound,NA
WBGene00016302,Direct,SET3,Larval,ClassC
WBGene00016314,Indirect,SET4,Not_Bound,NA
WBGene00016315,Direct,SET2,L3_High,ClassD
WBGene00016335,Direct,SET3,Increasing,ClassB
WBGene00016335,Direct,SET3,Larval,ClassB
WBGene00016344,Indirect,SET3,Increasing,NA
WBGene00016344,Indirect,SET3,Larval,NA
WBGene00016362,Indirect,SET6,Not_Bound,NA
WBGene00016379,Direct,SET2,Increasing,ClassC
WBGene00016380,Indirect,SET2,Not_Bound,NA
WBGene00016381,Indirect,SET2,Not_Bound,NA
WBGene00016392,Indirect,SET2,Not_Bound,NA
WBGene00016400,Indirect,SET2,Increasing,NA
WBGene00016400,Indirect,SET2,L3_High,NA
WBGene00016402,Indirect,SET2,Not_Bound,NA
WBGene00016403,Indirect,SET5,Not_Bound,NA
WBGene00016418,Indirect,SET2,Not_Bound,NA
WBGene00016421,Indirect,SET2,Not_Bound,NA
WBGene00016425,Direct,SET3,Increasing,ClassB
WBGene00016429,Indirect,SET1,Not_Bound,NA
WBGene00016431,Direct,SET6,Larval,ClassA
WBGene00016431,Direct,SET6,Increasing,ClassA
WBGene00016436,Indirect,SET6,Not_Bound,NA
WBGene00016437,Indirect,SET6,Not_Bound,NA
WBGene00016450,Direct,SET4,Increasing,ClassB
WBGene00016450,Direct,SET4,Larval,ClassB
WBGene00016450,Direct,SET4,Increasing,ClassB
WBGene00016455,Indirect,SET2,Not_Bound,NA
WBGene00016460,Indirect,SET2,Not_Bound,NA
WBGene00016464,Indirect,SET2,Not_Bound,NA
WBGene00016465,Indirect,SET2,Not_Bound,NA
WBGene00016467,Indirect,SET2,Not_Bound,NA
WBGene00016477,Indirect,SET6,Not_Bound,NA
WBGene00016504,Indirect,SET1,Not_Bound,NA
WBGene00016522,Indirect,SET6,Not_Changing,NA
WBGene00016533,Indirect,SET2,Not_Bound,NA
WBGene00016542,Direct,SET3,Larval,ClassC
WBGene00016544,Direct,SET4,Increasing,ClassB
WBGene00016544,Direct,SET4,Increasing,ClassB
WBGene00016551,Indirect,SET2,Not_Bound,NA
WBGene00016555,Indirect,SET3,Not_Bound,NA
WBGene00016556,Direct,SET6,Increasing,ClassA
WBGene00016556,Direct,SET6,Increasing,ClassA
WBGene00016568,Indirect,SET2,Not_Bound,NA
WBGene00016577,Indirect,SET6,Not_Bound,NA
WBGene00016583,Indirect,SET2,Not_Bound,NA
WBGene00016585,Indirect,SET3,Not_Bound,NA
WBGene00016586,Indirect,SET2,Not_Bound,NA
WBGene00016596,Indirect,SET2,Not_Bound,NA
WBGene00016599,Direct,SET3,Increasing,ClassC
WBGene00016608,Indirect,SET2,Not_Bound,NA
WBGene00016631,Indirect,SET3,Increasing,NA
WBGene00016632,Indirect,SET2,Increasing,NA
WBGene00016641,Indirect,SET6,Not_Bound,NA
WBGene00016669,Indirect,SET6,Not_Bound,NA
WBGene00016671,Indirect,SET5,Not_Bound,NA
WBGene00016684,Indirect,SET6,Not_Bound,NA
WBGene00016701,Indirect,SET2,Not_Bound,NA
WBGene00016702,Indirect,SET2,Not_Bound,NA
WBGene00016705,Direct,SET6,Increasing,ClassA
WBGene00016705,Direct,SET6,Larval,ClassA
WBGene00016714,Indirect,SET6,Larval,NA
WBGene00016714,Indirect,SET6,Increasing,NA
WBGene00016714,Indirect,SET6,Increasing,NA
WBGene00016717,Indirect,SET4,Increasing,NA
WBGene00016719,Indirect,SET6,L3_High,NA
WBGene00016751,Indirect,SET6,Not_Bound,NA
WBGene00016755,Indirect,SET6,Increasing,NA
WBGene00016756,Indirect,SET6,Increasing,NA
WBGene00016757,Direct,SET6,Larval,ClassB
WBGene00016758,Direct,SET6,Increasing,ClassA
WBGene00016759,Direct,SET2,Increasing,ClassD
WBGene00016783,Indirect,SET2,Not_Bound,NA
WBGene00016785,Indirect,SET1,Not_Bound,NA
WBGene00016788,Indirect,SET2,L3_High,NA
WBGene00016788,Indirect,SET2,Increasing,NA
WBGene00016799,Indirect,SET2,Not_Bound,NA
WBGene00016805,Indirect,SET6,Larval,NA
WBGene00016845,Direct,SET3,Larval,ClassB
WBGene00016845,Direct,SET3,L3_High,ClassB
WBGene00016865,Indirect,SET3,Increasing,NA
WBGene00016870,Indirect,SET2,Not_Bound,NA
WBGene00016881,Indirect,SET5,Not_Bound,NA
WBGene00016883,Direct,SET4,Larval,ClassB
WBGene00016883,Direct,SET4,Increasing,ClassB
WBGene00016884,Indirect,SET4,Larval,NA
WBGene00016886,Indirect,SET1,Not_Bound,NA
WBGene00016888,Direct,SET2,Increasing,ClassD
WBGene00016888,Direct,SET2,Increasing,ClassD
WBGene00016888,Direct,SET2,Increasing,ClassD
WBGene00016894,Indirect,SET1,Not_Bound,NA
WBGene00016900,Indirect,SET6,Not_Bound,NA
WBGene00016906,Indirect,SET6,L3_High,NA
WBGene00016912,Direct,SET4,Larval,ClassA
WBGene00016919,Indirect,SET1,L3_High,NA
WBGene00016930,Indirect,SET2,Not_Bound,NA
WBGene00016934,Direct,SET2,L3_High,ClassC
WBGene00016934,Direct,SET2,Larval,ClassC
WBGene00016934,Direct,SET2,Increasing,ClassC
WBGene00016939,Direct,SET3,Larval,ClassB
WBGene00016947,Indirect,SET2,Not_Bound,NA
WBGene00016953,Indirect,SET2,Not_Bound,NA
WBGene00016958,Indirect,SET3,Not_Bound,NA
WBGene00016976,Direct,SET2,Larval,ClassD
WBGene00016976,Direct,SET2,Increasing,ClassD
WBGene00016976,Direct,SET2,Increasing,ClassD
WBGene00016987,Direct,SET1,Larval,ClassD
WBGene00016987,Direct,SET1,L3_High,ClassD
WBGene00016987,Direct,SET1,Increasing,ClassD
WBGene00016993,Indirect,SET2,Not_Bound,NA
WBGene00016997,Direct,SET2,Increasing,ClassD
WBGene00016998,Indirect,SET4,Not_Bound,NA
WBGene00017020,Indirect,SET6,Not_Bound,NA
WBGene00017021,Indirect,SET6,Not_Bound,NA
WBGene00017023,Indirect,SET6,L3_High,NA
WBGene00017027,Direct,SET6,Larval,ClassA
WBGene00017032,Indirect,SET2,Not_Bound,NA
WBGene00017060,Indirect,SET2,Not_Bound,NA
WBGene00017071,Direct,SET6,Increasing,ClassA
WBGene00017071,Direct,SET6,Larval,ClassA
WBGene00017071,Direct,SET6,Increasing,ClassA
WBGene00017071,Direct,SET6,Increasing,ClassA
WBGene00017071,Direct,SET6,L3_High,ClassA
WBGene00017091,Indirect,SET6,Increasing,NA
WBGene00017092,Indirect,SET6,Not_Bound,NA
WBGene00017093,Direct,SET6,Larval,ClassA
WBGene00017100,Indirect,SET6,Not_Bound,NA
WBGene00017102,Indirect,SET6,Not_Bound,NA
WBGene00017103,Indirect,SET6,Not_Bound,NA
WBGene00017123,Indirect,SET6,L3_High,NA
WBGene00017131,Indirect,SET6,Not_Bound,NA
WBGene00017133,Indirect,SET1,Not_Changing,NA
WBGene00017133,Indirect,SET1,L3_High,NA
WBGene00017134,Indirect,SET2,Not_Bound,NA
WBGene00017141,Indirect,SET2,Not_Bound,NA
WBGene00017142,Indirect,SET2,Not_Bound,NA
WBGene00017143,Indirect,SET3,Not_Bound,NA
WBGene00017181,Indirect,SET2,Not_Bound,NA
WBGene00017194,Indirect,SET2,Not_Bound,NA
WBGene00017197,Indirect,SET2,Not_Bound,NA
WBGene00017198,Indirect,SET4,Not_Bound,NA
WBGene00017214,Indirect,SET3,Not_Bound,NA
WBGene00017219,Indirect,SET2,Larval,NA
WBGene00017226,Indirect,SET6,Larval,NA
WBGene00017241,Direct,SET2,L3_High,ClassD
WBGene00017241,Direct,SET2,Increasing,ClassD
WBGene00017241,Direct,SET2,L3_High,ClassD
WBGene00017246,Indirect,SET2,Not_Bound,NA
WBGene00017247,Indirect,SET2,Not_Bound,NA
WBGene00017257,Direct,SET6,L3_High,ClassB
WBGene00017258,Indirect,SET2,Not_Bound,NA
WBGene00017265,Indirect,SET1,Not_Bound,NA
WBGene00017282,Indirect,SET3,Increasing,NA
WBGene00017291,Direct,SET6,L3_High,ClassA
WBGene00017302,Direct,SET2,Increasing,ClassC
WBGene00017302,Direct,SET2,Increasing,ClassC
WBGene00017306,Indirect,SET2,Increasing,NA
WBGene00017310,Indirect,SET3,Larval,NA
WBGene00017310,Indirect,SET3,Larval,NA
WBGene00017315,Indirect,SET6,Not_Bound,NA
WBGene00017322,Indirect,SET6,Not_Bound,NA
WBGene00017327,Indirect,SET3,Increasing,NA
WBGene00017332,Direct,SET6,L3_High,ClassA
WBGene00017332,Direct,SET6,Larval,ClassA
WBGene00017334,Direct,SET2,Increasing,ClassD
WBGene00017335,Indirect,SET2,Not_Bound,NA
WBGene00017336,Indirect,SET1,Increasing,NA
WBGene00017339,Indirect,SET1,L3_High,NA
WBGene00017344,Indirect,SET1,Not_Bound,NA
WBGene00017361,Indirect,SET6,Increasing,NA
WBGene00017364,Indirect,SET6,Not_Bound,NA
WBGene00017367,Indirect,SET6,Not_Bound,NA
WBGene00017369,Direct,SET6,L3_High,ClassA
WBGene00017369,Direct,SET6,Larval,ClassA
WBGene00017378,Indirect,SET1,Not_Bound,NA
WBGene00017398,Direct,SET3,Increasing,ClassB
WBGene00017398,Direct,SET3,Increasing,ClassB
WBGene00017398,Direct,SET3,Increasing,ClassB
WBGene00017398,Direct,SET3,Increasing,ClassB
WBGene00017411,Indirect,SET2,Not_Bound,NA
WBGene00017417,Indirect,SET2,Not_Bound,NA
WBGene00017418,Indirect,SET1,Not_Bound,NA
WBGene00017424,Indirect,SET6,Increasing,NA
WBGene00017427,Direct,SET4,Increasing,ClassB
WBGene00017434,Direct,SET3,Increasing,ClassB
WBGene00017434,Direct,SET3,Larval,ClassB
WBGene00017436,Indirect,SET1,Not_Bound,NA
WBGene00017437,Indirect,SET3,Larval,NA
WBGene00017443,Direct,SET3,Larval,ClassB
WBGene00017448,Direct,SET2,Increasing,ClassC
WBGene00017449,Direct,SET2,Larval,ClassC
WBGene00017449,Direct,SET2,Increasing,ClassC
WBGene00017450,Indirect,SET2,Not_Bound,NA
WBGene00017451,Indirect,SET2,Not_Bound,NA
WBGene00017452,Indirect,SET2,Not_Bound,NA
WBGene00017454,Indirect,SET6,Not_Bound,NA
WBGene00017456,Indirect,SET2,Not_Bound,NA
WBGene00017461,Indirect,SET2,Not_Bound,NA
WBGene00017462,Indirect,SET2,Not_Bound,NA
WBGene00017466,Indirect,SET2,Not_Bound,NA
WBGene00017467,Indirect,SET2,Not_Bound,NA
WBGene00017470,Indirect,SET6,Not_Bound,NA
WBGene00017471,Indirect,SET2,Larval,NA
WBGene00017477,Indirect,SET6,Not_Bound,NA
WBGene00017478,Indirect,SET2,Not_Bound,NA
WBGene00017482,Indirect,SET2,Not_Bound,NA
WBGene00017484,Indirect,SET5,Not_Bound,NA
