WBGeneID,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00017724,Indirect,SET1,Increasing,NA
WBGene00017724,Indirect,SET1,L3_High,NA
WBGene00017724,Indirect,SET1,Increasing,NA
WBGene00017726,Direct,SET2,L3_High,ClassD
WBGene00017726,Direct,SET2,Increasing,ClassD
WBGene00017733,Indirect,SET2,Not_Bound,NA
WBGene00017738,Indirect,SET2,Not_Bound,NA
WBGene00017741,Indirect,SET6,Larval,NA
WBGene00017755,Indirect,SET2,Not_Bound,NA
WBGene00017760,Indirect,SET2,Increasing,NA
WBGene00017761,Indirect,SET2,Not_Bound,NA
WBGene00017764,Indirect,SET2,Larval,NA
WBGene00017765,Direct,SET6,L3_High,ClassA
WBGene00017771,Direct,SET5,Increasing,ClassA
WBGene00017771,Direct,SET5,Increasing,ClassA
WBGene00017771,Direct,SET5,Increasing,ClassA
WBGene00017771,Direct,SET5,Increasing,ClassA
WBGene00017774,Indirect,SET2,Larval,NA
WBGene00017835,Indirect,SET1,Not_Bound,NA
WBGene00017837,Direct,SET2,Embryo_Specific,ClassC
WBGene00017839,Indirect,SET2,Increasing,NA
WBGene00017865,Indirect,SET2,Increasing,NA
WBGene00017867,Indirect,SET6,Not_Bound,NA
WBGene00017879,Indirect,SET1,Not_Bound,NA
WBGene00017881,Direct,SET6,L3_High,ClassA
WBGene00017881,Direct,SET6,Increasing,ClassA
WBGene00017881,Direct,SET6,Increasing,ClassA
WBGene00017881,Direct,SET6,Increasing,ClassA
WBGene00017892,Direct,SET3,Increasing,ClassC
WBGene00017892,Direct,SET3,Larval,ClassC
WBGene00017892,Direct,SET3,Increasing,ClassC
WBGene00017892,Direct,SET3,Increasing,ClassC
WBGene00017892,Direct,SET3,Larval,ClassC
WBGene00017905,Direct,SET4,Increasing,ClassB
WBGene00017905,Direct,SET4,Larval,ClassB
WBGene00017907,Indirect,SET6,L3_High,NA
WBGene00017936,Indirect,SET6,Not_Bound,NA
WBGene00017948,Indirect,SET6,Larval,NA
WBGene00017957,Direct,SET3,Increasing,ClassB
WBGene00017969,Direct,SET3,Larval,ClassB
WBGene00017970,Indirect,SET1,Not_Bound,NA
WBGene00017971,Direct,SET2,Increasing,ClassC
WBGene00017985,Indirect,SET2,Not_Bound,NA
WBGene00017986,Indirect,SET2,Not_Bound,NA
WBGene00018010,Indirect,SET2,Not_Bound,NA
WBGene00018024,Direct,SET1,Increasing,ClassD
WBGene00018024,Direct,SET1,Larval,ClassD
WBGene00018026,Indirect,SET2,Not_Bound,NA
WBGene00018035,Indirect,SET3,Increasing,NA
WBGene00018036,Direct,SET6,Increasing,ClassB
WBGene00018036,Direct,SET6,Larval,ClassB
WBGene00018051,Indirect,SET6,Not_Bound,NA
WBGene00018052,Indirect,SET6,Not_Bound,NA
WBGene00018099,Indirect,SET2,Not_Bound,NA
WBGene00018100,Indirect,SET3,Increasing,NA
WBGene00018100,Indirect,SET3,Larval,NA
WBGene00018101,Indirect,SET3,Not_Bound,NA
WBGene00018102,Indirect,SET2,Increasing,NA
WBGene00018103,Indirect,SET6,Not_Bound,NA
WBGene00018104,Indirect,SET6,Not_Bound,NA
WBGene00018111,Indirect,SET6,Not_Bound,NA
WBGene00018115,Indirect,SET6,Increasing,NA
WBGene00018118,Indirect,SET2,Not_Bound,NA
WBGene00018130,Indirect,SET1,Embryo_Specific,NA
WBGene00018138,Direct,SET3,Increasing,ClassB
WBGene00018138,Direct,SET3,Larval,ClassB
WBGene00018138,Direct,SET3,Increasing,ClassB
WBGene00018145,Indirect,SET2,Increasing,NA
WBGene00018146,Direct,SET6,Increasing,ClassA
WBGene00018146,Direct,SET6,Increasing,ClassA
WBGene00018148,Indirect,SET6,Not_Bound,NA
WBGene00018152,Direct,SET2,Increasing,ClassC
WBGene00018152,Direct,SET2,L3_High,ClassC
WBGene00018153,Indirect,SET6,Not_Bound,NA
WBGene00018168,Indirect,SET1,Not_Bound,NA
WBGene00018174,Indirect,SET3,Increasing,NA
WBGene00018175,Indirect,SET6,Not_Bound,NA
WBGene00018195,Direct,SET6,Larval,ClassA
WBGene00018200,Direct,SET6,Increasing,ClassA
WBGene00018207,Direct,SET2,L3_High,ClassC
WBGene00018213,Indirect,SET6,L3_High,NA
WBGene00018223,Indirect,SET2,Not_Bound,NA
WBGene00018226,Direct,SET2,L3_High,ClassC
WBGene00018232,Indirect,SET6,Increasing,NA
WBGene00018233,Indirect,SET6,Not_Bound,NA
WBGene00018241,Direct,SET4,Increasing,ClassB
WBGene00018241,Direct,SET4,L3_High,ClassB
WBGene00018250,Indirect,SET6,Not_Bound,NA
WBGene00018255,Indirect,SET6,Not_Bound,NA
WBGene00018274,Direct,SET1,Larval,ClassD
WBGene00018274,Direct,SET1,Larval,ClassD
WBGene00018280,Direct,SET3,Increasing,ClassC
WBGene00018280,Direct,SET3,Increasing,ClassC
WBGene00018283,Direct,SET2,L3_High,ClassD
WBGene00018295,Indirect,SET6,Not_Bound,NA
WBGene00018298,Indirect,SET6,Not_Bound,NA
WBGene00018303,Indirect,SET2,Not_Bound,NA
WBGene00018310,Indirect,SET2,Not_Bound,NA
WBGene00018314,Direct,SET1,Increasing,ClassD
WBGene00018318,Indirect,SET2,Not_Bound,NA
WBGene00018342,Indirect,SET6,Larval,NA
WBGene00018343,Direct,SET4,Increasing,ClassB
WBGene00018343,Direct,SET4,Larval,ClassB
WBGene00018345,Indirect,SET3,Not_Bound,NA
WBGene00018347,Indirect,SET6,Not_Bound,NA
WBGene00018350,Direct,SET3,L3_High,ClassB
WBGene00018350,Direct,SET3,Increasing,ClassB
WBGene00018350,Direct,SET3,Increasing,ClassB
WBGene00018351,Indirect,SET3,Increasing,NA
WBGene00018353,Direct,SET3,L3_High,ClassC
WBGene00018353,Direct,SET3,Larval,ClassC
WBGene00018354,Indirect,SET6,Not_Bound,NA
WBGene00018360,Indirect,SET1,Not_Bound,NA
WBGene00018363,Indirect,SET6,Not_Bound,NA
WBGene00018384,Direct,SET6,Increasing,ClassA
WBGene00018384,Direct,SET6,Larval,ClassA
WBGene00018398,Direct,SET2,Larval,ClassC
WBGene00018398,Direct,SET2,Increasing,ClassC
WBGene00018398,Direct,SET2,Larval,ClassC
WBGene00018398,Direct,SET2,Larval,ClassC
WBGene00018403,Indirect,SET6,Not_Bound,NA
WBGene00018406,Indirect,SET6,Larval,NA
WBGene00018435,Direct,SET6,Increasing,ClassA
WBGene00018466,Direct,SET6,L3_High,ClassA
WBGene00018468,Indirect,SET6,Not_Bound,NA
WBGene00018470,Indirect,SET1,Not_Bound,NA
WBGene00018472,Indirect,SET1,Not_Bound,NA
WBGene00018483,Indirect,SET2,L3_High,NA
WBGene00018492,Indirect,SET1,Larval,NA
WBGene00018538,Indirect,SET1,Not_Bound,NA
WBGene00018540,Indirect,SET6,Not_Bound,NA
WBGene00018547,Direct,SET2,Larval,ClassC
WBGene00018579,Indirect,SET2,Not_Bound,NA
WBGene00018581,Indirect,SET2,Not_Bound,NA
WBGene00018594,Indirect,SET2,Not_Bound,NA
WBGene00018595,Direct,SET2,Increasing,ClassD
WBGene00018602,Direct,SET6,Increasing,ClassA
WBGene00018602,Direct,SET6,Increasing,ClassA
WBGene00018602,Direct,SET6,Larval,ClassA
WBGene00018607,Indirect,SET2,Increasing,NA
WBGene00018619,Indirect,SET3,Not_Bound,NA
WBGene00018636,Direct,SET2,Increasing,ClassD
WBGene00018640,Indirect,SET2,Not_Bound,NA
WBGene00018645,Direct,SET4,Larval,ClassA
WBGene00018646,Direct,SET3,Larval,ClassB
WBGene00018646,Direct,SET3,Larval,ClassB
WBGene00018656,Indirect,SET6,Not_Bound,NA
WBGene00018659,Indirect,SET2,Not_Bound,NA
WBGene00018660,Indirect,SET2,Not_Bound,NA
WBGene00018661,Indirect,SET2,Not_Bound,NA
WBGene00018665,Indirect,SET2,Not_Bound,NA
WBGene00018667,Indirect,SET2,Not_Bound,NA
WBGene00018668,Indirect,SET2,Not_Bound,NA
WBGene00018669,Indirect,SET2,Not_Bound,NA
WBGene00018683,Direct,SET6,Increasing,ClassA
WBGene00018683,Direct,SET6,Larval,ClassA
WBGene00018694,Indirect,SET6,Not_Bound,NA
WBGene00018698,Indirect,SET2,Not_Bound,NA
WBGene00018702,Indirect,SET2,Not_Bound,NA
WBGene00018704,Direct,SET2,Increasing,ClassC
WBGene00018708,Direct,SET6,Increasing,ClassA
WBGene00018726,Indirect,SET2,Not_Bound,NA
WBGene00018730,Indirect,SET1,Increasing,NA
WBGene00018731,Direct,SET6,Larval,ClassA
WBGene00018732,Direct,SET1,Increasing,ClassD
WBGene00018742,Indirect,SET2,Not_Bound,NA
WBGene00018744,Indirect,SET1,Not_Bound,NA
WBGene00018751,Indirect,SET1,Not_Bound,NA
WBGene00018752,Indirect,SET2,Not_Bound,NA
WBGene00018760,Direct,SET6,Increasing,ClassA
WBGene00018779,Direct,SET6,L3_High,ClassA
WBGene00018797,Indirect,SET2,Not_Bound,NA
WBGene00018806,Direct,SET2,L3_High,ClassD
WBGene00018819,Indirect,SET2,Not_Bound,NA
WBGene00018823,Direct,SET6,Larval,ClassA
WBGene00018841,Indirect,SET2,Not_Bound,NA
WBGene00018850,Indirect,SET2,Not_Bound,NA
WBGene00018852,Indirect,SET2,Not_Bound,NA
WBGene00018862,Indirect,SET2,Not_Bound,NA
WBGene00018867,Indirect,SET2,Not_Bound,NA
WBGene00018874,Indirect,SET3,Increasing,NA
WBGene00018877,Indirect,SET2,Embryo_Specific,NA
WBGene00018885,Indirect,SET6,Increasing,NA
WBGene00018885,Indirect,SET6,Increasing,NA
WBGene00018886,Direct,SET3,Larval,ClassB
WBGene00018886,Direct,SET3,Larval,ClassB
WBGene00018900,Indirect,SET2,Not_Changing,NA
WBGene00018903,Direct,SET1,Increasing,ClassD
WBGene00018903,Direct,SET1,Larval,ClassD
WBGene00018907,Direct,SET4,Increasing,ClassB
WBGene00018907,Direct,SET4,Larval,ClassB
WBGene00018931,Direct,SET3,Larval,ClassB
WBGene00018931,Direct,SET3,Increasing,ClassB
WBGene00018932,Indirect,SET5,Not_Changing,NA
WBGene00018946,Indirect,SET2,Increasing,NA
WBGene00018948,Indirect,SET2,Not_Bound,NA
WBGene00018950,Indirect,SET2,Not_Bound,NA
WBGene00018964,Indirect,SET2,Not_Bound,NA
WBGene00018971,Direct,SET4,Increasing,ClassB
WBGene00018991,Direct,SET2,Increasing,ClassD
WBGene00018997,Indirect,SET2,Increasing,NA
WBGene00019002,Indirect,SET2,Not_Bound,NA
WBGene00019013,Indirect,SET2,Not_Bound,NA
WBGene00019014,Direct,SET3,Increasing,ClassB
WBGene00019014,Direct,SET3,Larval,ClassB
WBGene00019014,Direct,SET3,Increasing,ClassB
WBGene00019017,Direct,SET5,Increasing,ClassB
WBGene00019017,Direct,SET5,Larval,ClassB
WBGene00019017,Direct,SET5,Increasing,ClassB
WBGene00019017,Direct,SET5,Increasing,ClassB
WBGene00019017,Direct,SET5,Larval,ClassB
WBGene00019021,Indirect,SET1,Not_Bound,NA
WBGene00019022,Indirect,SET6,Not_Bound,NA
WBGene00019023,Indirect,SET6,Not_Bound,NA
WBGene00019030,Indirect,SET1,Not_Bound,NA
WBGene00019035,Indirect,SET4,Not_Bound,NA
WBGene00019036,Indirect,SET4,Not_Bound,NA
WBGene00019057,Indirect,SET3,Increasing,NA
WBGene00019057,Indirect,SET3,Increasing,NA
WBGene00019058,Indirect,SET3,Increasing,NA
WBGene00019068,Direct,SET6,Increasing,ClassA
WBGene00019092,Indirect,SET6,Not_Bound,NA
WBGene00019097,Direct,SET6,Increasing,ClassA
WBGene00019100,Direct,SET2,L3_High,ClassD
WBGene00019101,Indirect,SET2,Not_Bound,NA
WBGene00019104,Direct,SET6,Larval,ClassA
WBGene00019105,Direct,SET6,Larval,ClassA
WBGene00019105,Direct,SET6,Larval,ClassA
WBGene00019127,Direct,SET2,Increasing,ClassC
WBGene00019127,Direct,SET2,Increasing,ClassC
WBGene00019129,Indirect,SET1,Not_Bound,NA
WBGene00019132,Indirect,SET2,Not_Bound,NA
WBGene00019133,Indirect,SET2,Not_Bound,NA
WBGene00019138,Indirect,SET2,Not_Bound,NA
WBGene00019139,Indirect,SET2,Not_Bound,NA
WBGene00019140,Indirect,SET2,Not_Bound,NA
WBGene00019141,Indirect,SET2,Not_Bound,NA
WBGene00019145,Indirect,SET6,Increasing,NA
WBGene00019146,Indirect,SET6,Not_Bound,NA
WBGene00019164,Direct,SET6,Increasing,ClassA
WBGene00019164,Direct,SET6,Increasing,ClassA
WBGene00019164,Direct,SET6,Increasing,ClassA
WBGene00019164,Direct,SET6,Increasing,ClassA
WBGene00019166,Direct,SET2,Increasing,ClassC
WBGene00019171,Indirect,SET3,Not_Bound,NA
WBGene00019198,Indirect,SET1,Not_Bound,NA
WBGene00019211,Direct,SET1,Increasing,ClassD
WBGene00019211,Direct,SET1,Larval,ClassD
WBGene00019211,Direct,SET1,Increasing,ClassD
WBGene00019211,Direct,SET1,Larval,ClassD
WBGene00019211,Direct,SET1,Increasing,ClassD
WBGene00019211,Direct,SET1,Increasing,ClassD
WBGene00019211,Direct,SET1,L3_High,ClassD
WBGene00019214,Indirect,SET6,Increasing,NA
WBGene00019215,Direct,SET6,Increasing,ClassA
WBGene00019225,Direct,SET4,Larval,ClassB
WBGene00019231,Indirect,SET6,Not_Bound,NA
WBGene00019247,Indirect,SET2,Not_Bound,NA
WBGene00019253,Indirect,SET6,Not_Bound,NA
WBGene00019261,Direct,SET6,Larval,ClassA
WBGene00019273,Direct,SET3,Larval,ClassC
WBGene00019273,Direct,SET3,Increasing,ClassC
WBGene00019327,Direct,SET1,L3_High,ClassD
WBGene00019327,Direct,SET1,Increasing,ClassD
WBGene00019343,Indirect,SET1,Not_Bound,NA
WBGene00019344,Direct,SET2,Increasing,ClassC
WBGene00019351,Direct,SET2,Increasing,ClassC
WBGene00019351,Direct,SET2,Increasing,ClassC
WBGene00019351,Direct,SET2,Increasing,ClassC
WBGene00019357,Indirect,SET1,Not_Bound,NA
WBGene00019361,Indirect,SET1,Increasing,NA
WBGene00019368,Direct,SET6,Larval,ClassA
WBGene00019368,Direct,SET6,L3_High,ClassA
WBGene00019373,Direct,SET2,Larval,ClassC
WBGene00019373,Direct,SET2,Larval,ClassC
WBGene00019373,Direct,SET2,Larval,ClassC
WBGene00019386,Indirect,SET6,Not_Bound,NA
WBGene00019389,Indirect,SET6,Not_Bound,NA
WBGene00019405,Indirect,SET2,Increasing,NA
WBGene00019411,Direct,SET2,Increasing,ClassD
WBGene00019411,Direct,SET2,Increasing,ClassD
WBGene00019411,Direct,SET2,Increasing,ClassD
WBGene00019411,Direct,SET2,Larval,ClassD
WBGene00019421,Indirect,SET6,Not_Bound,NA
WBGene00019444,Indirect,SET6,Not_Bound,NA
WBGene00019445,Direct,SET6,Increasing,ClassA
WBGene00019458,Indirect,SET2,Not_Bound,NA
WBGene00019461,Indirect,SET6,L3_High,NA
WBGene00019471,Indirect,SET3,Not_Bound,NA
WBGene00019488,Indirect,SET6,Not_Bound,NA
WBGene00019493,Direct,SET4,Increasing,ClassB
WBGene00019493,Direct,SET4,Not_Changing,ClassB
WBGene00019493,Direct,SET4,Increasing,ClassB
WBGene00019495,Indirect,SET6,Not_Bound,NA
WBGene00019515,Indirect,SET3,Increasing,NA
WBGene00019540,Indirect,SET6,Not_Bound,NA
WBGene00019547,Indirect,SET6,Not_Bound,NA
WBGene00019549,Direct,SET6,Larval,ClassA
WBGene00019549,Direct,SET6,Larval,ClassA
WBGene00019551,Indirect,SET2,Not_Bound,NA
WBGene00019564,Direct,SET1,Increasing,ClassD
WBGene00019579,Direct,SET3,Increasing,ClassB
WBGene00019579,Direct,SET3,Increasing,ClassB
WBGene00019579,Direct,SET3,Increasing,ClassB
WBGene00019580,Indirect,SET1,Not_Bound,NA
WBGene00019587,Indirect,SET6,Not_Bound,NA
WBGene00019589,Indirect,SET6,Not_Bound,NA
WBGene00019590,Direct,SET6,Increasing,ClassA
WBGene00019597,Indirect,SET6,Not_Bound,NA
WBGene00019598,Indirect,SET2,Not_Bound,NA
WBGene00019599,Indirect,SET6,L3_High,NA
WBGene00019599,Indirect,SET6,Increasing,NA
WBGene00019600,Indirect,SET2,Not_Bound,NA
WBGene00019605,Indirect,SET6,Increasing,NA
WBGene00019605,Indirect,SET6,Increasing,NA
WBGene00019606,Indirect,SET2,Not_Bound,NA
WBGene00019608,Indirect,SET2,Not_Bound,NA
WBGene00019617,Direct,SET6,Larval,ClassA
WBGene00019617,Direct,SET6,Increasing,ClassA
WBGene00019617,Direct,SET6,Larval,ClassA
WBGene00019617,Direct,SET6,Increasing,ClassA
WBGene00019618,Direct,SET6,Larval,ClassA
WBGene00019618,Direct,SET6,Larval,ClassA
WBGene00019619,Direct,SET6,Larval,ClassA
WBGene00019619,Direct,SET6,Increasing,ClassA
WBGene00019623,Indirect,SET6,Not_Bound,NA
WBGene00019624,Direct,SET2,L3_High,ClassD
WBGene00019639,Indirect,SET6,Not_Bound,NA
WBGene00019645,Direct,SET2,Increasing,ClassD
WBGene00019645,Direct,SET2,L3_High,ClassD
WBGene00019652,Indirect,SET1,Increasing,NA
WBGene00019653,Indirect,SET6,Not_Bound,NA
WBGene00019660,Indirect,SET3,Not_Bound,NA
WBGene00019661,Indirect,SET2,Not_Bound,NA
WBGene00019666,Indirect,SET3,Larval,NA
WBGene00019668,Direct,SET6,Larval,ClassA
WBGene00019674,Direct,SET6,Increasing,ClassA
WBGene00019682,Direct,SET3,Larval,ClassB
WBGene00019683,Indirect,SET2,Not_Bound,NA
WBGene00019692,Indirect,SET1,Not_Bound,NA
WBGene00019693,Indirect,SET2,Not_Bound,NA
WBGene00019699,Direct,SET6,Increasing,ClassA
WBGene00019712,Indirect,SET2,Not_Bound,NA
WBGene00019713,Indirect,SET6,Increasing,NA
WBGene00019720,Direct,SET3,Increasing,ClassB
WBGene00019738,Direct,SET3,Larval,ClassB
WBGene00019743,Direct,SET2,Increasing,ClassD
WBGene00019744,Indirect,SET2,Increasing,NA
WBGene00019748,Direct,SET6,Increasing,ClassA
WBGene00019748,Direct,SET6,Increasing,ClassA
WBGene00019748,Direct,SET6,Increasing,ClassA
WBGene00019748,Direct,SET6,Increasing,ClassA
WBGene00019748,Direct,SET6,Increasing,ClassA
WBGene00019751,Indirect,SET1,Not_Bound,NA
WBGene00019753,Indirect,SET6,Not_Bound,NA
WBGene00019770,Direct,SET1,L3_High,ClassD
WBGene00019770,Direct,SET1,L3_High,ClassD
WBGene00019772,Indirect,SET2,Not_Bound,NA
WBGene00019778,Indirect,SET2,Not_Bound,NA
WBGene00019779,Direct,SET6,Increasing,ClassA
WBGene00019779,Direct,SET6,Increasing,ClassA
WBGene00019782,Indirect,SET2,Not_Bound,NA
WBGene00019792,Indirect,SET2,Not_Bound,NA
WBGene00019801,Indirect,SET2,L3_High,NA
WBGene00019803,Direct,SET6,Increasing,ClassB
WBGene00019805,Indirect,SET6,Not_Bound,NA
WBGene00019811,Indirect,SET2,Not_Bound,NA
WBGene00019813,Indirect,SET3,Increasing,NA
WBGene00019820,Indirect,SET2,Not_Bound,NA
WBGene00019830,Direct,SET5,Increasing,ClassB
WBGene00019830,Direct,SET5,Increasing,ClassB
WBGene00019833,Indirect,SET2,Not_Bound,NA
WBGene00019844,Direct,SET2,Increasing,ClassC
WBGene00019844,Direct,SET2,Increasing,ClassC
WBGene00019844,Direct,SET2,Increasing,ClassC
WBGene00019844,Direct,SET2,Increasing,ClassC
WBGene00019846,Indirect,SET6,Increasing,NA
WBGene00019859,Indirect,SET2,Increasing,NA
WBGene00019869,Direct,SET6,Larval,ClassA
WBGene00019869,Direct,SET6,Larval,ClassA
WBGene00019894,Direct,SET2,Increasing,ClassD
WBGene00019894,Direct,SET2,Larval,ClassD
WBGene00019895,Direct,SET4,Increasing,ClassB
WBGene00019895,Direct,SET4,Larval,ClassB
WBGene00019895,Direct,SET4,Increasing,ClassB
WBGene00019895,Direct,SET4,Increasing,ClassB
WBGene00019895,Direct,SET4,Larval,ClassB
WBGene00019895,Direct,SET4,Increasing,ClassB
WBGene00019895,Direct,SET4,L3_High,ClassB
WBGene00019914,Direct,SET6,Increasing,ClassA
WBGene00019914,Direct,SET6,Increasing,ClassA
WBGene00019917,Direct,SET3,Larval,ClassC
WBGene00019928,Indirect,SET2,Not_Bound,NA
WBGene00019931,Direct,SET3,Larval,ClassC
WBGene00019932,Indirect,SET3,Not_Bound,NA
WBGene00019941,Indirect,SET2,Not_Bound,NA
WBGene00019957,Direct,SET3,Larval,ClassB
WBGene00019958,Indirect,SET3,Not_Bound,NA
WBGene00019962,Direct,SET3,Increasing,ClassC
WBGene00019962,Direct,SET3,Larval,ClassC
WBGene00019967,Indirect,SET2,Increasing,NA
WBGene00019970,Indirect,SET2,Not_Bound,NA
WBGene00019975,Indirect,SET6,Not_Bound,NA
WBGene00019978,Direct,SET3,Increasing,ClassB
WBGene00019978,Direct,SET3,Increasing,ClassB
WBGene00019986,Direct,SET6,Increasing,ClassA
WBGene00019991,Indirect,SET2,Not_Bound,NA
WBGene00020004,Indirect,SET4,Not_Bound,NA
WBGene00020015,Indirect,SET3,Increasing,NA
WBGene00020016,Indirect,SET6,Increasing,NA
WBGene00020017,Indirect,SET2,Not_Bound,NA
WBGene00020022,Direct,SET6,Increasing,ClassA
WBGene00020022,Direct,SET6,Larval,ClassA
WBGene00020034,Direct,SET6,Increasing,ClassA
WBGene00020034,Direct,SET6,L3_High,ClassA
WBGene00020048,Indirect,SET6,Not_Bound,NA
WBGene00020075,Indirect,SET6,Not_Bound,NA
WBGene00020080,Direct,SET6,Increasing,ClassA
WBGene00020080,Direct,SET6,Increasing,ClassA
WBGene00020091,Indirect,SET2,Not_Bound,NA
WBGene00020094,Direct,SET1,L3_High,ClassD
WBGene00020098,Indirect,SET2,Not_Bound,NA
WBGene00020103,Indirect,SET2,Embryo_Specific,NA
WBGene00020125,Indirect,SET6,Not_Bound,NA
WBGene00020128,Direct,SET3,Larval,ClassC
WBGene00020128,Direct,SET3,Larval,ClassC
WBGene00020128,Direct,SET3,Larval,ClassC
WBGene00020128,Direct,SET3,L3_High,ClassC
WBGene00020128,Direct,SET3,Increasing,ClassC
WBGene00020138,Indirect,SET6,Not_Bound,NA
WBGene00020139,Direct,SET6,Increasing,ClassA
WBGene00020139,Direct,SET6,Increasing,ClassA
WBGene00020139,Direct,SET6,Increasing,ClassA
WBGene00020139,Direct,SET6,Larval,ClassA
WBGene00020139,Direct,SET6,Increasing,ClassA
WBGene00020141,Indirect,SET1,Not_Bound,NA
WBGene00020143,Indirect,SET3,Not_Bound,NA
WBGene00020170,Indirect,SET4,Not_Changing,NA
WBGene00020182,Direct,SET6,Increasing,ClassB
WBGene00020191,Direct,SET6,L3_High,ClassA
WBGene00020201,Indirect,SET1,Not_Bound,NA
WBGene00020229,Indirect,SET6,Not_Bound,NA
WBGene00020242,Indirect,SET1,Not_Bound,NA
WBGene00020247,Direct,SET6,L3_High,ClassA
WBGene00020247,Direct,SET6,L3_High,ClassA
WBGene00020248,Indirect,SET6,Not_Bound,NA
WBGene00020256,Direct,SET4,Larval,ClassB
WBGene00020258,Direct,SET6,Larval,ClassB
WBGene00020258,Direct,SET6,Increasing,ClassB
WBGene00020279,Indirect,SET6,Not_Bound,NA
WBGene00020280,Direct,SET3,Increasing,ClassB
WBGene00020308,Indirect,SET3,Not_Bound,NA
WBGene00020325,Direct,SET3,Larval,ClassC
WBGene00020326,Direct,SET6,Increasing,ClassA
WBGene00020326,Direct,SET6,Larval,ClassA
WBGene00020329,Indirect,SET6,Not_Bound,NA
WBGene00020340,Direct,SET3,Larval,ClassB
WBGene00020340,Direct,SET3,Increasing,ClassB
WBGene00020340,Direct,SET3,Increasing,ClassB
WBGene00020349,Indirect,SET2,Not_Bound,NA
WBGene00020357,Direct,SET3,Larval,ClassC
WBGene00020358,Indirect,SET3,Increasing,NA
WBGene00020358,Indirect,SET3,Larval,NA
WBGene00020359,Direct,SET3,Increasing,ClassB
WBGene00020360,Indirect,SET3,Larval,NA
WBGene00020360,Indirect,SET3,Increasing,NA
WBGene00020360,Indirect,SET3,Larval,NA
WBGene00020364,Indirect,SET3,Not_Bound,NA
WBGene00020378,Direct,SET6,Increasing,ClassA
WBGene00020393,Direct,SET6,L3_High,ClassA
WBGene00020393,Direct,SET6,Increasing,ClassA
WBGene00020401,Direct,SET6,Increasing,ClassA
WBGene00020401,Direct,SET6,Increasing,ClassA
WBGene00020404,Indirect,SET2,Not_Bound,NA
WBGene00020430,Indirect,SET6,Not_Bound,NA
WBGene00020431,Indirect,SET6,Not_Bound,NA
WBGene00020437,Indirect,SET2,L3_High,NA
WBGene00020437,Indirect,SET2,Not_Changing,NA
WBGene00020448,Indirect,SET6,L3_High,NA
WBGene00020449,Direct,SET3,Increasing,ClassB
WBGene00020453,Direct,SET4,Increasing,ClassB
WBGene00020455,Direct,SET3,Increasing,ClassC
WBGene00020455,Direct,SET3,L3_High,ClassC
WBGene00020455,Direct,SET3,Increasing,ClassC
WBGene00020456,Direct,SET2,Increasing,ClassC
WBGene00020456,Direct,SET2,Increasing,ClassC
WBGene00020472,Direct,SET3,Larval,ClassC
WBGene00020481,Indirect,SET2,Increasing,NA
WBGene00020481,Indirect,SET2,L3_High,NA
WBGene00020481,Indirect,SET2,Increasing,NA
WBGene00020491,Indirect,SET6,Increasing,NA
WBGene00020516,Indirect,SET6,Not_Bound,NA
WBGene00020517,Indirect,SET6,Larval,NA
WBGene00020522,Indirect,SET3,Not_Bound,NA
WBGene00020529,Indirect,SET2,Not_Bound,NA
WBGene00020532,Direct,SET3,Larval,ClassC
WBGene00020532,Direct,SET3,Larval,ClassC
WBGene00020532,Direct,SET3,Larval,ClassC
WBGene00020544,Indirect,SET6,Not_Bound,NA
WBGene00020569,Indirect,SET6,Not_Bound,NA
WBGene00020574,Direct,SET6,Increasing,ClassA
WBGene00020576,Direct,SET3,Increasing,ClassB
WBGene00020577,Direct,SET6,Increasing,ClassA
WBGene00020577,Direct,SET6,Larval,ClassA
WBGene00020577,Direct,SET6,Larval,ClassA
WBGene00020579,Direct,SET3,Larval,ClassB
WBGene00020579,Direct,SET3,Increasing,ClassB
WBGene00020588,Indirect,SET2,Not_Bound,NA
WBGene00020595,Indirect,SET1,Not_Bound,NA
WBGene00020631,Direct,SET6,Increasing,ClassA
WBGene00020631,Direct,SET6,Increasing,ClassA
WBGene00020631,Direct,SET6,Increasing,ClassA
WBGene00020639,Indirect,SET2,Not_Bound,NA
WBGene00020662,Direct,SET6,Increasing,ClassA
WBGene00020662,Direct,SET6,Increasing,ClassA
WBGene00020667,Indirect,SET2,Not_Bound,NA
WBGene00020677,Indirect,SET2,Not_Bound,NA
WBGene00020678,Indirect,SET2,Not_Bound,NA
WBGene00020679,Indirect,SET2,Embryo_Specific,NA
WBGene00020683,Indirect,SET2,Increasing,NA
WBGene00020684,Indirect,SET2,Not_Bound,NA
WBGene00020710,Indirect,SET2,Not_Bound,NA
WBGene00020714,Indirect,SET6,Not_Bound,NA
WBGene00020722,Indirect,SET6,Not_Bound,NA
WBGene00020728,Direct,SET6,L3_High,ClassA
WBGene00020728,Direct,SET6,Increasing,ClassA
WBGene00020736,Direct,SET2,Increasing,ClassD
WBGene00020741,Direct,SET6,Increasing,ClassA
WBGene00020757,Indirect,SET2,Increasing,NA
WBGene00020757,Indirect,SET2,Increasing,NA
WBGene00020760,Indirect,SET2,Increasing,NA
WBGene00020761,Indirect,SET2,Not_Bound,NA
WBGene00020764,Indirect,SET2,Not_Bound,NA
WBGene00020766,Indirect,SET2,Not_Bound,NA
WBGene00020770,Direct,SET5,Increasing,ClassC
