Gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
B0281.5,40.69021316,-7.67156982,-8.108127086,1.250918206,-5.89292712,3.79E-09,8.88E-09
B0281.6,2.52004588,1.505613367,1.611771823,1.379282723,0.874087195,0.38207077,0.436574662
M04G12.2,3894.76134,5.099021814,5.101021944,0.109549685,43.80680625,0,0
B0284.3,12.61154452,0.218195073,0.222583121,0.768453487,0,1,1
B0285.1,577.0770253,-0.989442268,-0.990164808,0.149372759,-4.615582342,3.92E-06,7.67E-06
B0285.3,130.4230606,-2.348811049,-2.353691056,0.251218823,-8.155483832,3.48E-16,1.07E-15
B0285.4,290.4675205,-1.279375679,-1.280220164,0.142238436,-6.885450305,5.76E-12,1.52E-11
B0285.5,348.6927221,-2.291241005,-2.29289664,0.148823571,-13.37987651,7.93E-41,4.45E-40
B0285.6,3.31465636,-4.131307812,-4.484392391,1.495762705,-2.561440928,0.010423897,0.015305037
B0285.7,53.6836584,-2.493208739,-2.551906872,0.822752121,-2.665698067,0.007682866,0.0114597
M28.10,8713.98041,6.148851032,6.153610893,0.153889593,38.00680037,0,0
B0285.9,111.598397,-0.751099439,-0.752876074,0.268705429,-1.678787958,0.093193376,0.120066818
B0286.1,40.87104664,0.79422451,0.79775026,0.366886072,1.347078965,0.177954802,0.217855252
R11A5.4,25702.90709,2.992297663,2.992709269,0.064942721,41.4564961,0,0
R11H6.1,10409.81987,3.428006478,3.428653384,0.076068513,41.12091007,0,0
B0286.4,912.9169562,0.233020735,0.233115068,0.11145157,0,1,1
B0286.5,8.209537084,-3.711369084,-3.886968408,1.119739735,-3.046573213,0.002314661,0.003643481
R12C12.9,1055.665629,5.178993252,5.181701576,0.126649276,38.52365672,0,0
B0294.1,1.33075844,-2.757029386,-3.169987929,1.87675461,-1.309190543,0.190469815,0.231900007
R12E2.5,1465.429034,4.401769636,4.403301164,0.103315741,39.70130405,0,0
T01D3.6,5193.855787,4.479532049,4.481044792,0.101695956,41.09831139,0,0
B0303.11,67.31904974,-4.956169687,-5.016974911,0.605205587,-7.693533874,1.43E-14,4.17E-14
B0303.14,47.55912482,0.331233924,0.332202163,0.299150206,0.104408834,0.916844912,0.979150816
B0303.15,304.0796023,-1.744797146,-1.745966063,0.143366225,-10.07766752,6.94E-24,2.63E-23
B0303.2,11.08175028,-0.784107455,-0.795174859,0.644371713,-0.751286012,0.452480545,0.510652074
T02C12.1,3828.193206,4.611803473,4.613217834,0.096945529,44.47655837,0,0
T02C5.1,8978.520976,5.00218772,5.003428857,0.087208187,53.91910885,0,0
T02E1.5,5710.579006,5.25620534,5.258480657,0.115082715,43.06646162,0,0
B0303.8,2.096471151,-1.151877614,-1.244553995,1.480308191,-0.575473148,0.564971346,0.626599856
B0303.9,311.3305558,-0.92145097,-0.921969696,0.131211666,-4.736247831,2.18E-06,4.33E-06
B0304.1,9.397156867,-5.604304966,-5.994871018,1.369524745,-3.873099035,0.00010746,0.00019082
B0304.2,119.0486563,-9.226932615,-9.654822799,1.13972957,-7.832500662,4.78E-15,1.42E-14
T03E6.7,49281.54342,3.262020524,3.262597908,0.073667016,40.20823266,0,0
B0304.4,40.7855809,-7.733742274,-8.109646855,1.164426741,-6.384036037,1.72E-10,4.30E-10
B0304.8,1.18388602,-2.574956578,-2.995120246,1.936008578,-1.175075671,0.239964443,0.285453836
B0310.1,20.2808618,-6.757158894,-7.10190379,1.190387466,-5.424417744,5.81E-08,1.28E-07
B0310.2,30.8315977,-7.30884075,-7.709496483,1.229945609,-5.698496503,1.21E-08,2.76E-08
B0310.3,2.410182134,-3.630118995,-4.027757179,1.660264426,-2.005776274,0.044880123,0.060870246
T07C12.7,7609.102,4.746123161,4.747963625,0.109009503,40.78656477,0,0
B0331.1,4.459690846,-3.569747218,-3.850735382,1.385934884,-2.359235817,0.018312615,0.026149509
B0334.1,106.1353719,-6.926696375,-7.084425881,0.795073056,-8.334701222,7.77E-17,2.44E-16
B0334.11,484.2877553,-1.00988907,-1.010522843,0.138865281,-5.11207023,3.19E-07,6.71E-07
B0334.15,119.9661049,-0.543583052,-0.544442795,0.219943244,-1.107481404,0.268085848,0.315711101
B0334.2,19.97445097,-5.03993951,-5.234957405,1.019204171,-4.650628055,3.31E-06,6.51E-06
T10B5.7,5153.56903,5.698752243,5.701026899,0.110580878,48.82175223,0,0
B0334.4,282.2063889,-1.511343387,-1.512766812,0.169768014,-7.135286308,9.66E-13,2.64E-12
B0334.5,304.3444192,0.169314081,0.169429758,0.144937887,0,1,1
B0334.6,1.250870976,-1.704269856,-1.907575175,1.769833574,-0.793447405,0.427517201,0.484559712
B0334.8,495.5040919,-2.500418447,-2.502197137,0.14790849,-14.87689075,4.66E-50,3.15E-49
B0336.1,414.435252,-2.716896264,-2.719108494,0.157872766,-15.30913996,6.64E-53,4.78E-52
T12G3.1,2890.104801,4.619814258,4.621641277,0.110041303,39.25629873,0,0
T13F2.1,8177.215474,3.511008287,3.511799217,0.083114374,38.63360951,0,0
B0336.13,124.3646812,-4.344337389,-4.364391005,0.371630679,-10.88267901,1.39E-27,5.80E-27
B0336.2,3065.210749,0.369228129,0.369322626,0.088590676,0.781438095,0.434544873,0.491869551
B0336.3,1342.818068,-1.952926507,-1.953488403,0.093902196,-17.60263953,2.35E-69,2.31E-68
B0336.4,62.78475125,-3.535186193,-3.55468427,0.407145254,-7.946024582,1.93E-15,5.79E-15
B0336.5,224.237056,-2.641363675,-2.644986466,0.204907386,-11.42644843,3.08E-30,1.37E-29
B0336.6,657.647897,-2.408794135,-2.410134686,0.130819732,-16.11984756,1.85E-58,1.51E-57
B0336.7,104.1718081,-2.665370929,-2.672885401,0.293032002,-8.072056681,6.91E-16,2.11E-15
B0336.8,111.250821,-0.889164089,-0.890586248,0.220651303,-2.670113796,0.007582554,0.01131825
B0336.9,384.7754755,-1.532377665,-1.533226112,0.130111158,-9.471729311,2.75E-21,9.78E-21
B0344.2,3.636452679,-4.264245782,-4.617165184,1.475204855,-2.687251041,0.007204278,0.010783669
T20D3.2,9167.545556,4.53278132,4.533908301,0.087281643,48.49566477,0,0
B0348.6,1513.281077,-4.381067893,-4.383737954,0.136570262,-29.88255165,3.32E-196,1.66E-194
B0350.2,1292.670254,0.384808506,0.385043058,0.136656443,0.620596469,0.534865164,0.595814819
T21C9.6,1432.687518,4.782937712,4.785083061,0.117276851,38.22525666,0,0
B0361.10,428.5322912,0.123973034,0.124041577,0.130245847,0,1,1
B0361.11,1.826047957,0.397814136,0.44995417,1.782953899,0.054860721,0.956249425,1
B0361.2,311.8387838,-2.130809788,-2.132593988,0.160554405,-11.40304928,4.04E-30,1.79E-29
B0361.3,294.4612098,-1.024263885,-1.024864692,0.133957098,-5.406685396,6.42E-08,1.41E-07
B0361.4,1.42519528,-1.916137006,-2.111007364,1.653517673,-0.977393246,0.328374505,0.380511228
T28F4.5,9302.168287,5.635586649,5.63905436,0.137210295,38.88619767,0,0
B0361.6,243.0306665,-3.997360035,-4.004910696,0.239423956,-15.44273219,8.44E-54,6.21E-53
B0361.7,328.6935075,0.217836438,0.217951312,0.127182144,0,1,1
B0361.8,658.5621397,0.242858083,0.24293722,0.100086693,0,1,1
B0361.9,49.32240685,-6.342858254,-6.569334869,0.977304209,-6.183190658,6.28E-10,1.52E-09
B0365.1,1284.695853,-7.729320875,-7.754506754,0.313479769,-23.69952261,3.65E-124,8.16E-123
T28H10.3,7673.057521,6.145694708,6.149082711,0.129967493,44.9781294,0,0
VC5.3,41225.4976,4.916980563,4.918693674,0.103323986,44.68449925,0,0
W02D3.5,7009.061724,3.287589727,3.28810498,0.069325831,43.09489941,0,0
B0365.7,4.071426896,0.216695119,0.231351883,1.337341528,0,1,1
B0365.9,11.02913152,-0.205204638,-0.207993043,0.633891004,0,1,1
B0379.1,56.20416277,-7.267207486,-7.601929101,1.110008032,-6.276718081,3.46E-10,8.50E-10
B0379.2,2.685981343,-3.647344886,-4.177478919,1.857420516,-1.80214704,0.071522274,0.093861218
B0379.3,1244.093338,-0.509749339,-0.509898707,0.094766912,-2.213318285,0.02687571,0.037513904
W04E12.6,3092.635472,6.311545069,6.316799945,0.159970582,37.57906611,0,0
B0379.7,10.6059206,-4.644071536,-5.151361147,1.565832564,-2.774288666,0.005532257,0.008379818
B0391.5,22.21404257,-6.883618002,-7.235032965,1.190761363,-5.5289147,3.22E-08,7.18E-08
Y22F5A.4,17678.29785,5.364084987,5.365245458,0.081414813,62.20102679,0,0
B0393.2,794.8607351,-2.123842789,-2.124822077,0.11872298,-15.36217162,2.94E-53,2.13E-52
B0393.3,710.0799772,-6.654050842,-6.674367284,0.304946499,-20.83660861,2.02E-96,3.02E-95
B0393.5,7.959263942,-1.025165091,-1.043457149,0.724872765,-1.000403279,0.317115384,0.368409339
B0393.6,362.6943252,-8.320531657,-8.461157991,0.692389791,-11.58383871,4.98E-31,2.26E-30
Y22F5A.5,9678.616224,6.461240886,6.465960752,0.149398392,41.2403426,0,0
B0393.8,24.30103669,-4.481134051,-4.582154606,0.81540849,-5.127655772,2.93E-07,6.19E-07
Y32F6B.1,1416.112701,5.320273584,5.322594962,0.115532576,43.45331646,0,0
B0395.1,26.25093922,0.480180115,0.484379644,0.512274376,0.351725801,0.725043909,0.789180519
B0395.2,1.647088371,-0.973484854,-1.075952773,1.565169955,-0.430295031,0.666981041,0.730878573
Y34B4A.9,3240.747912,4.203604266,4.204742306,0.091039557,42.87811136,0,0
B0399.1,9.377997028,-5.637891475,-5.984081444,1.293943757,-4.125288635,3.70E-05,6.82E-05
